                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.4137,                 1.4231,                 1.4109,                0.69455,                0.57658,                0.66548,                0.35339,                 1.6251,                 1.4817,                 1.5849,              0.0015116,              0.0015116,              0.0015116
                     76,                 1.4051,                 1.4091,                 1.3957,                0.49435,                0.50901,                0.51192,                0.25591,                 1.7398,                 1.8609,                 1.7165,               0.001505,               0.001505,               0.001505
                     77,                 1.4067,                 1.3593,                 1.3843,                0.67329,                0.51056,                0.59706,                0.30376,                  1.676,                 1.5949,                 1.5554,              0.0014984,              0.0014984,              0.0014984
                     78,                 1.4114,                 1.3971,                 1.3958,                 0.6661,                0.62004,                 0.6349,                0.33662,                 1.6056,                 1.5159,                  1.567,              0.0014918,              0.0014918,              0.0014918
                     79,                 1.4058,                 1.4094,                 1.3759,                 0.7487,                0.68442,                0.75782,                0.42603,                 1.5344,                 1.2756,                 1.5125,              0.0014852,              0.0014852,              0.0014852
                     80,                 1.3397,                 1.4093,                 1.3679,                0.71022,                0.73423,                0.77321,                0.42152,                 1.5456,                 1.2426,                 1.5061,              0.0014786,              0.0014786,              0.0014786
                     81,                 1.3749,                 1.3884,                 1.3734,                0.65836,                0.72523,                0.73166,                0.37066,                   1.66,                 1.3004,                 1.5802,               0.001472,               0.001472,               0.001472
                     82,                 1.3441,                 1.3694,                 1.3485,                0.66629,                0.66555,                0.71701,                0.39109,                 1.5698,                 1.3661,                 1.5247,              0.0014654,              0.0014654,              0.0014654
                     83,                 1.3516,                 1.3713,                 1.3512,                0.67304,                0.69369,                0.72477,                0.40551,                 1.5204,                 1.4432,                 1.4818,              0.0014588,              0.0014588,              0.0014588
                     84,                   1.36,                 1.3074,                 1.3537,                0.65503,                0.64865,                0.68635,                0.39472,                 1.5465,                 1.4615,                 1.5138,              0.0014522,              0.0014522,              0.0014522
                     85,                  1.367,                 1.3963,                 1.3681,                0.64368,                0.54505,                 0.6114,                 0.3363,                  1.627,                 1.5079,                  1.558,              0.0014456,              0.0014456,              0.0014456
                     86,                 1.3769,                 1.3498,                 1.3577,                0.70159,                0.57658,                0.67464,                 0.3423,                 1.6155,                 1.4613,                 1.5214,               0.001439,               0.001439,               0.001439
                     87,                 1.3738,                 1.3093,                 1.3443,                0.69941,                0.67079,                0.72958,                0.40177,                 1.5289,                 1.2826,                 1.4746,              0.0014324,              0.0014324,              0.0014324
                     88,                 1.2776,                 1.3142,                 1.3212,                0.63647,                0.63964,                0.70104,                0.39262,                 1.5093,                 1.3416,                 1.4825,              0.0014258,              0.0014258,              0.0014258
                     89,                 1.3255,                 1.2971,                 1.3327,                0.72923,                0.70363,                0.77783,                 0.4219,                 1.5509,                  1.234,                 1.4898,              0.0014192,              0.0014192,              0.0014192
                     90,                 1.3962,                 1.3638,                 1.3804,                0.65045,                0.67894,                0.72943,                0.39974,                 1.5121,                 1.2741,                 1.5199,              0.0014126,              0.0014126,              0.0014126
                     91,                 1.3432,                 1.3044,                 1.3305,                0.69325,                0.56757,                0.66615,                0.35564,                 1.6207,                  1.408,                 1.5375,               0.001406,               0.001406,               0.001406
                     92,                 1.2855,                 1.2962,                 1.3191,                0.77759,                0.62162,                0.72582,                0.41579,                 1.4872,                 1.2816,                 1.4227,              0.0013994,              0.0013994,              0.0013994
                     93,                 1.2788,                 1.2995,                 1.3058,                 0.6918,                0.70779,                0.72866,                0.41155,                 1.4932,                 1.2325,                 1.4594,              0.0013928,              0.0013928,              0.0013928
                     94,                 1.2857,                 1.2436,                 1.3125,                0.65939,                 0.6036,                0.66726,                0.35795,                 1.6194,                  1.463,                 1.5552,              0.0013862,              0.0013862,              0.0013862
                     95,                 1.3364,                 1.3347,                 1.3643,                0.71018,                0.59605,                0.66409,                0.36978,                 1.5583,                 1.4129,                 1.5087,              0.0013796,              0.0013796,              0.0013796
                     96,                 1.3017,                 1.2914,                 1.3362,                0.66449,                0.63514,                0.70545,                0.38397,                 1.5746,                 1.3465,                 1.5643,               0.001373,               0.001373,               0.001373
                     97,                 1.2762,                 1.2639,                 1.2986,                0.73457,                0.61712,                0.72575,                0.40622,                 1.4808,                  1.316,                 1.4885,              0.0013664,              0.0013664,              0.0013664
                     98,                 1.2895,                 1.2666,                 1.3213,                0.74385,                 0.5045,                0.63526,                0.33562,                 1.6908,                 1.4987,                 1.6544,              0.0013598,              0.0013598,              0.0013598
                     99,                 1.2518,                 1.2364,                 1.2961,                0.72518,                0.64414,                0.73483,                0.40194,                 1.5611,                 1.2908,                  1.532,              0.0013532,              0.0013532,              0.0013532
                    100,                  1.263,                  1.235,                 1.3063,                0.71974,                0.68919,                 0.7365,                0.40321,                 1.5476,                 1.2423,                 1.4795,              0.0013466,              0.0013466,              0.0013466
                    101,                 1.2991,                 1.2977,                 1.3233,                0.62945,                0.72072,                0.74196,                0.42471,                 1.4951,                 1.2569,                 1.4696,                0.00134,                0.00134,                0.00134
                    102,                 1.3011,                 1.2718,                 1.3209,                0.58927,                0.64414,                0.70468,                0.37926,                 1.6158,                 1.3299,                 1.5634,              0.0013334,              0.0013334,              0.0013334
                    103,                 1.3578,                 1.3395,                 1.3628,                0.70581,                0.63063,                0.72264,                 0.4125,                 1.5412,                 1.2523,                 1.4977,              0.0013268,              0.0013268,              0.0013268
                    104,                 1.3506,                 1.3224,                 1.3545,                0.69592,                 0.6982,                 0.7249,                0.40622,                 1.5321,                 1.2563,                 1.4937,              0.0013202,              0.0013202,              0.0013202
                    105,                 1.3103,                 1.2766,                 1.3296,                 0.7289,                0.60811,                0.71083,                0.39352,                 1.5717,                 1.2135,                 1.5567,              0.0013136,              0.0013136,              0.0013136
                    106,                 1.3165,                 1.2905,                 1.3408,                0.64322,                0.58108,                0.63824,                0.35589,                 1.5952,                 1.5497,                 1.5652,               0.001307,               0.001307,               0.001307
                    107,                 1.2711,                 1.2071,                 1.2967,                0.69262,                0.64865,                0.71701,                0.39744,                 1.4966,                  1.284,                 1.4919,              0.0013004,              0.0013004,              0.0013004
                    108,                 1.2513,                 1.1629,                 1.2717,                0.72095,                0.67499,                0.73094,                0.41662,                 1.5346,                 1.3298,                 1.5336,              0.0012938,              0.0012938,              0.0012938
                    109,                 1.2679,                 1.2186,                 1.2871,                0.72879,                0.66576,                0.75722,                0.41227,                 1.5388,                 1.2658,                 1.4973,              0.0012872,              0.0012872,              0.0012872
                    110,                 1.2192,                 1.2233,                 1.2669,                0.70456,                0.63514,                0.73665,                0.41701,                  1.557,                 1.2631,                 1.5219,              0.0012806,              0.0012806,              0.0012806
                    111,                 1.2533,                 1.2193,                 1.2864,                0.79383,                0.60703,                 0.7415,                0.40559,                 1.5227,                 1.2611,                 1.4781,               0.001274,               0.001274,               0.001274
